Product,Type,Date,Process_Size,TDP,Die_Size,Transistors,Frequency,Foundry,Vendor,FP16,FP32,FP64
AMD Athlon 64 3700+,CPU,1/1/2001,90.0,89.0,199.0,233.0,2200,Unknown,AMD,,,
Intel Xeon 7120M,CPU,8/27/2006,65.0,95.0,435.0,1328.0,3000,Intel,Intel,,,
Intel Core i9-10980XE,CPU,10/19/2019,14.0,165.0,188.4404445518241,1929.9222785421193,3000,Intel,Intel,,,
Intel Core i3-4360,CPU,5/1/2014,22.0,54.0,177.0,1400.0,3700,Intel,Intel,,,
Intel Core i5-1130G7,CPU,9/2/2020,10.0,15.0,188.4404445518241,1929.9222785421193,1100,Intel,Intel,,,
AMD Ryzen 5 PRO 4650GE,CPU,7/21/2020,7.0,35.0,188.4404445518241,1929.9222785421193,3300,TSMC,AMD,,,
AMD Phenom II X3 710,CPU,2/9/2009,45.0,95.0,258.0,758.0,2600,Unknown,AMD,,,
Intel Pentium Silver J5005,CPU,12/1/2017,14.0,10.0,188.4404445518241,1929.9222785421193,1500,Intel,Intel,,,
AMD Opteron 150,CPU,8/2/2005,90.0,85.0,188.4404445518241,106.0,2400,Unknown,AMD,,,
Intel Pentium M 1.30,CPU,3/12/2003,130.0,24.0,100.0,77.0,1300,Intel,Intel,,,
AMD Ryzen 5 3600X,CPU,7/7/2019,7.0,95.0,74.0,3800.0,3800,TSMC,AMD,,,
Intel Pentium 4 HT 520,CPU,6/21/2004,90.0,84.0,109.0,125.0,2933,Intel,Intel,,,
AMD Opteron 846 HE,CPU,3/1/2005,90.0,55.0,188.4404445518241,106.0,2000,Unknown,AMD,,,
Intel Xeon Platinum 9242,CPU,4/2/2019,14.0,350.0,188.4404445518241,8000.0,2300,Intel,Intel,,,
Intel Core i3-10105,CPU,3/16/2021,14.0,65.0,188.4404445518241,1929.9222785421193,3700,Intel,Intel,,,
Intel Core i9-9960X,CPU,10/19/2018,14.0,165.0,188.4404445518241,1929.9222785421193,3100,Intel,Intel,,,
AMD Athlon II X2 240e,CPU,10/20/2009,45.0,45.0,117.0,410.0,2800,Unknown,AMD,,,
AMD A8-3530MX,CPU,6/14/2011,32.0,45.0,228.0,1178.0,1900,Unknown,AMD,,,
Intel Core 2 Quad Q8400,CPU,4/19/2009,45.0,95.0,82.0,456.0,2666,Intel,Intel,,,
Intel Core i5-7600K,CPU,1/3/2017,14.0,91.0,188.4404445518241,1929.9222785421193,3800,Intel,Intel,,,
AMD Sempron 3300+,CPU,8/19/2005,90.0,62.0,188.4404445518241,63.0,2000,Unknown,AMD,,,
Intel Xeon E5-2680 v2,CPU,9/1/2013,22.0,115.0,160.0,1400.0,2800,Intel,Intel,,,
AMD Athlon 64 3400+,CPU,1/1/2001,90.0,67.0,84.0,69.0,2400,Unknown,AMD,,,
AMD Athlon 64 X2 4800+ EE,CPU,5/23/2006,90.0,65.0,220.0,154.0,2400,Unknown,AMD,,,
Intel Atom S1260,CPU,12/11/2012,32.0,9.0,188.4404445518241,1929.9222785421193,2000,Intel,Intel,,,
Intel Pentium Gold G5500,CPU,4/2/2018,14.0,51.0,188.4404445518241,1929.9222785421193,3800,Intel,Intel,,,
AMD Opteron 6380,CPU,11/5/2012,32.0,115.0,315.0,2400.0,2500,Unknown,AMD,,,
AMD Athlon II X4 630,CPU,9/16/2009,45.0,95.0,169.0,300.0,2800,Unknown,AMD,,,
AMD Athlon 64 X2 4200+,CPU,12/1/2006,65.0,65.0,126.0,154.0,2200,Unknown,AMD,,,
Intel Atom E3815,CPU,10/8/2013,22.0,5.0,188.4404445518241,1929.9222785421193,1467,Intel,Intel,,,
Intel Mobile Pentium 4 HT 548,CPU,9/28/2004,90.0,88.0,112.0,125.0,3334,Intel,Intel,,,
Intel Pentium 4 2.4,CPU,4/2/2002,130.0,110.0,146.0,55.0,2400,Intel,Intel,,,
AMD Athlon II X3 420e,CPU,9/21/2010,45.0,45.0,169.0,300.0,2600,Unknown,AMD,,,
Intel Core i5-750s,CPU,1/7/2010,45.0,82.0,296.0,774.0,2400,Intel,Intel,,,
AMD Phenom II X4 650T,CPU,7/1/2011,45.0,95.0,346.0,904.0,2700,Unknown,AMD,,,
Intel Core i3-3240T,CPU,9/3/2012,22.0,35.0,94.0,1929.9222785421193,3000,Intel,Intel,,,
Intel Pentium 3556U,CPU,9/1/2013,22.0,15.0,118.0,1400.0,1700,Intel,Intel,,,
AMD Athlon X2 4850e,CPU,3/5/2008,65.0,45.0,126.0,154.0,2500,Unknown,AMD,,,
Intel Core i3-2130,CPU,9/4/2011,32.0,65.0,131.0,504.0,3400,Intel,Intel,,,
Intel Celeron G1820,CPU,12/1/2013,22.0,54.0,177.0,1400.0,2700,Intel,Intel,,,
Intel Core i5-5200U,CPU,3/1/2015,14.0,15.0,188.4404445518241,1929.9222785421193,2200,Intel,Intel,,,
Intel Core i9-9900X,CPU,10/19/2018,14.0,165.0,188.4404445518241,1929.9222785421193,3500,Intel,Intel,,,
AMD Opteron 244,CPU,4/22/2003,130.0,85.0,193.0,106.0,1800,Unknown,AMD,,,
Intel Xeon E5-2643 v2,CPU,9/1/2013,22.0,130.0,160.0,1400.0,3500,Intel,Intel,,,
Intel Celeron 2955U,CPU,9/1/2013,22.0,15.0,118.0,1400.0,1400,Intel,Intel,,,
AMD Phenom II X4 905e,CPU,6/2/2009,45.0,65.0,258.0,758.0,2500,Unknown,AMD,,,
Intel Atom Z520,CPU,4/2/2008,45.0,2.0,26.0,47.0,1334,Intel,Intel,,,
AMD Athlon XP 2400+,CPU,9/1/2003,130.0,68.0,188.4404445518241,63.0,2000,Unknown,AMD,,,
AMD Sempron 2600+,CPU,7/28/2004,130.0,62.0,80.0,37.0,1833,Unknown,AMD,,,
Intel Pentium III 1133,CPU,7/31/2000,180.0,29.0,80.0,44.0,1133,Intel,Intel,,,
Intel Core i3-2120,CPU,2/20/2011,32.0,65.0,131.0,504.0,3300,Intel,Intel,,,
Intel Xeon 3.6,CPU,2/14/2005,90.0,135.0,169.0,178.0,3600,Intel,Intel,,,
Intel Celeron G550,CPU,6/1/2012,32.0,65.0,131.0,504.0,2600,Intel,Intel,,,
Intel Xeon E7-4809 v3,CPU,6/1/2015,22.0,115.0,160.0,1400.0,2000,Intel,Intel,,,
Intel Xeon E7-4820 v3,CPU,6/1/2015,22.0,115.0,160.0,1400.0,1900,Intel,Intel,,,
Intel Core i7-4710HQ,CPU,4/1/2014,22.0,47.0,264.0,1400.0,2500,Intel,Intel,,,
AMD Sempron 3200+,CPU,5/23/2006,90.0,62.0,103.0,81.0,1800,Unknown,AMD,,,
AMD Athlon II X3 435,CPU,10/9/2009,45.0,95.0,169.0,300.0,2900,Unknown,AMD,,,
Intel Xeon E3-1225 v2,CPU,5/14/2012,22.0,77.0,160.0,1400.0,3200,Intel,Intel,,,
Intel Core i7-6900K,CPU,5/31/2016,14.0,140.0,188.4404445518241,1929.9222785421193,3200,Intel,Intel,,,
Intel Core i5-11400,CPU,3/16/2021,14.0,65.0,188.4404445518241,1929.9222785421193,2600,Intel,Intel,,,
Intel Pentium 4 HT 670,CPU,5/26/2005,90.0,84.0,109.0,169.0,3800,Intel,Intel,,,
AMD FX-6100,CPU,10/12/2011,32.0,95.0,315.0,1200.0,3300,Unknown,AMD,,,
AMD Athlon 64 X2 3600+,CPU,1/1/2001,90.0,89.0,156.0,154.0,2000,Unknown,AMD,,,
Intel Xeon 5060,CPU,5/23/2006,65.0,130.0,188.4404445518241,1929.9222785421193,3200,Intel,Intel,,,
AMD Mobile Athlon 64 2700+,CPU,8/1/2005,130.0,35.0,193.0,106.0,1600,Unknown,AMD,,,
Intel Xeon E5-2650L v2,CPU,9/1/2013,22.0,70.0,160.0,1400.0,1700,Intel,Intel,,,
Intel Core i5-661,CPU,1/7/2010,32.0,87.0,81.0,382.0,3333,Intel,Intel,,,
AMD Athlon 64 3800+,CPU,4/4/2005,90.0,89.0,83.0,69.0,2400,Unknown,AMD,,,
Intel Celeron N2920,CPU,12/1/2013,22.0,7.0,188.4404445518241,1929.9222785421193,1860,Intel,Intel,,,
AMD FX-4100,CPU,10/12/2011,32.0,95.0,315.0,1200.0,3600,Unknown,AMD,,,
Intel Core i3-8121U,CPU,5/5/2018,10.0,28.0,123.0,1929.9222785421193,2200,Intel,Intel,,,
Intel Pentium G6951,CPU,9/1/2010,32.0,73.0,81.0,382.0,2800,Intel,Intel,,,
AMD Sempron 2300+,CPU,1/1/2001,130.0,62.0,101.0,63.0,1583,Unknown,AMD,,,
AMD FX-6130,CPU,10/23/2012,32.0,95.0,315.0,1200.0,3600,Unknown,AMD,,,
AMD Phenom II X4 B93,CPU,10/1/2009,45.0,95.0,258.0,758.0,2800,Unknown,AMD,,,
AMD Opteron 242,CPU,4/22/2003,130.0,85.0,193.0,106.0,1600,Unknown,AMD,,,
AMD Ryzen Threadripper 3980X,CPU,11/14/2019,7.0,280.0,74.0,3800.0,3500,TSMC,AMD,,,
Intel Core 2 Duo E4700,CPU,3/2/2008,65.0,65.0,111.0,167.0,2600,Intel,Intel,,,
Intel Core i3-2332M,CPU,9/1/2011,32.0,35.0,149.0,624.0,2200,Intel,Intel,,,
Intel Core i7-870,CPU,9/8/2009,45.0,95.0,296.0,774.0,2933,Intel,Intel,,,
AMD A6-1450,CPU,5/23/2013,32.0,8.0,246.0,1178.0,1000,Unknown,AMD,,,
Intel Pentium D 960,CPU,5/2/2006,65.0,130.0,140.0,376.0,3600,Intel,Intel,,,
Intel Core i7-10700,CPU,4/30/2020,14.0,65.0,188.4404445518241,1929.9222785421193,2900,Intel,Intel,,,
AMD Opteron 842,CPU,6/30/2003,130.0,85.0,193.0,106.0,1600,Unknown,AMD,,,
Intel Core Solo T1400,CPU,1/5/2006,65.0,27.0,90.0,151.0,1833,Intel,Intel,,,
AMD Athlon 64 4000+,CPU,1/1/2001,90.0,89.0,199.0,233.0,2400,Unknown,AMD,,,
AMD A4-3305M,CPU,6/14/2011,32.0,35.0,228.0,1178.0,1900,Unknown,AMD,,,
AMD Ryzen 5 2600E,CPU,9/19/2018,12.0,65.0,192.0,4800.0,3100,GF,AMD,,,
Intel Core i9-9880H,CPU,4/23/2019,14.0,45.0,149.0,1929.9222785421193,2300,Intel,Intel,,,
Intel Core i7-4558U,CPU,6/4/2013,22.0,28.0,118.0,1300.0,2800,Intel,Intel,,,
Intel Core i7-3940XM,CPU,9/3/2012,22.0,55.0,160.0,1400.0,3000,Intel,Intel,,,
AMD Opteron 250 HE,CPU,3/1/2005,90.0,55.0,188.4404445518241,106.0,2400,Unknown,AMD,,,
Intel Xeon W3503,CPU,3/30/2009,45.0,130.0,263.0,731.0,2400,Intel,Intel,,,
AMD Athlon 64 3000+,CPU,1/1/2001,90.0,51.0,84.0,69.0,2000,Unknown,AMD,,,
Intel Core i9-9900K,CPU,10/19/2018,14.0,95.0,180.0,1929.9222785421193,3600,Intel,Intel,,,
Intel Pentium 4 HT EE 3.40,CPU,6/21/2004,130.0,110.0,237.0,178.0,3400,Intel,Intel,,,
Intel Xeon Silver 4116,CPU,7/11/2017,14.0,85.0,188.4404445518241,8000.0,2100,Intel,Intel,,,
AMD Phenom X3 8450,CPU,4/23/2008,65.0,95.0,285.0,450.0,2100,Unknown,AMD,,,
Intel Core i3-530,CPU,1/7/2010,32.0,73.0,81.0,382.0,2933,Intel,Intel,,,
AMD Athlon II X4 641,CPU,2/6/2012,32.0,100.0,228.0,1178.0,2800,Unknown,AMD,,,
AMD Sempron 3400+,CPU,10/1/2005,90.0,62.0,84.0,63.0,2000,Unknown,AMD,,,
AMD Ryzen 7 5700G,CPU,4/13/2021,7.0,65.0,188.4404445518241,1929.9222785421193,3800,TSMC,AMD,,,
Intel Xeon Silver 4309Y,CPU,4/6/2021,10.0,105.0,188.4404445518241,1929.9222785421193,2800,Intel,Intel,,,
Intel Core i7-4550U,CPU,6/4/2013,22.0,15.0,118.0,1300.0,1500,Intel,Intel,,,
AMD Opteron 144,CPU,9/9/2003,130.0,82.0,193.0,106.0,1800,Unknown,AMD,,,
Intel Core i5-2415M,CPU,9/1/2011,32.0,35.0,149.0,624.0,2300,Intel,Intel,,,
Intel Core i3-8100T,CPU,4/2/2018,14.0,35.0,188.4404445518241,1929.9222785421193,3100,Intel,Intel,,,
AMD Mobile Athlon 64 2800+,CPU,8/1/2004,130.0,82.0,193.0,106.0,1800,Unknown,AMD,,,
Intel Pentium III 1333,CPU,12/1/2001,130.0,30.0,80.0,44.0,1333,Intel,Intel,,,
Intel Xeon W3680,CPU,3/16/2010,32.0,130.0,239.0,1170.0,3333,Intel,Intel,,,
Intel Core i5-11600K,CPU,3/16/2021,14.0,125.0,188.4404445518241,1929.9222785421193,3900,Intel,Intel,,,
AMD EPYC 7543,CPU,3/15/2021,7.0,225.0,188.4404445518241,1929.9222785421193,2800,TSMC,AMD,,,
AMD Phenom II X4 960T BE,CPU,6/1/2010,45.0,95.0,346.0,904.0,3000,Unknown,AMD,,,
Intel Core i9-11900KF,CPU,3/16/2021,14.0,125.0,188.4404445518241,1929.9222785421193,3500,Intel,Intel,,,
AMD Ryzen 7 5800H,CPU,1/12/2021,7.0,54.0,156.0,9800.0,3200,TSMC,AMD,,,
AMD Opteron X2 280,CPU,9/26/2005,90.0,95.0,188.4404445518241,233.0,2400,Unknown,AMD,,,
AMD Athlon 1133,CPU,10/31/2000,180.0,63.0,120.0,37.0,1133,Unknown,AMD,,,
Intel Pentium 4 HT 520,CPU,6/21/2004,90.0,84.0,109.0,125.0,2800,Intel,Intel,,,
AMD FX-8370,CPU,9/2/2014,32.0,125.0,315.0,1200.0,4000,Unknown,AMD,,,
AMD Ryzen 7 3700U,CPU,1/6/2019,12.0,15.0,210.0,4940.0,2300,GF,AMD,,,
Intel Core i7-6800K,CPU,5/31/2016,14.0,140.0,188.4404445518241,1929.9222785421193,3400,Intel,Intel,,,
Intel Core i5-7400T,CPU,1/3/2017,14.0,35.0,188.4404445518241,1929.9222785421193,2400,Intel,Intel,,,
AMD Phenom II X2 545,CPU,6/1/2009,45.0,80.0,258.0,758.0,3000,Unknown,AMD,,,
Intel Core 2 Quad Q6700,CPU,4/20/2007,65.0,95.0,143.0,582.0,2666,Intel,Intel,,,
Intel Core i7-4870HQ,CPU,7/1/2014,22.0,47.0,264.0,1400.0,2500,Intel,Intel,,,
AMD Athlon 600,CPU,6/5/2000,180.0,38.0,120.0,37.0,600,Unknown,AMD,,,
AMD Athlon II X2 235e,CPU,10/20/2009,45.0,45.0,117.0,410.0,2700,Unknown,AMD,,,
Intel Pentium M 735,CPU,5/10/2004,90.0,21.0,84.0,140.0,1700,Intel,Intel,,,
AMD Athlon 64 X2 5800+,CPU,4/1/2008,65.0,89.0,126.0,154.0,3000,Unknown,AMD,,,
AMD Athlon XP 2000+,CPU,9/1/2003,130.0,60.0,188.4404445518241,63.0,1667,Unknown,AMD,,,
Intel Core i5-680,CPU,4/19/2010,32.0,73.0,81.0,382.0,3600,Intel,Intel,,,
Intel Pentium 4 506,CPU,6/1/2005,90.0,84.0,109.0,125.0,2660,Intel,Intel,,,
Intel Core 2 Quad Q9650,CPU,8/10/2008,45.0,95.0,107.0,820.0,3000,Intel,Intel,,,
Intel Core i5-460M,CPU,9/26/2010,32.0,35.0,81.0,382.0,2534,Intel,Intel,,,
Intel Xeon E3-1260L,CPU,4/3/2011,32.0,45.0,216.0,1160.0,2400,Intel,Intel,,,
Intel Pentium E6700,CPU,5/30/2010,45.0,65.0,82.0,228.0,3200,Intel,Intel,,,
AMD Athlon 64 X2 4400+,CPU,5/23/2006,90.0,89.0,220.0,154.0,2200,Unknown,AMD,,,
Intel Xeon Phi 7210,CPU,6/20/2016,14.0,215.0,188.4404445518241,8000.0,1300,Intel,Intel,,,
Intel Pentium G645,CPU,9/2/2012,32.0,65.0,131.0,504.0,2900,Intel,Intel,,,
Intel Core 2 Solo ULV U2200,CPU,9/1/2007,65.0,5.0,143.0,291.0,1200,Intel,Intel,,,
Intel Core i3-4330,CPU,9/1/2013,22.0,54.0,177.0,1400.0,3500,Intel,Intel,,,
AMD Phenom II 42 TWKR Black Edition,CPU,6/1/2009,45.0,125.0,258.0,758.0,2000,Unknown,AMD,,,
AMD Phenom II X4 925,CPU,5/11/2009,45.0,95.0,258.0,758.0,2800,Unknown,AMD,,,
AMD Ryzen 7 PRO 2700,CPU,9/19/2018,12.0,65.0,192.0,4800.0,3200,GF,AMD,,,
Intel Celeron N2910,CPU,9/11/2013,22.0,7.0,188.4404445518241,1929.9222785421193,1600,Intel,Intel,,,
AMD EPYC 7F32,CPU,4/14/2020,7.0,180.0,74.0,3800.0,3700,TSMC,AMD,,,
Intel Core 2 Extreme QX9775,CPU,3/24/2008,45.0,150.0,107.0,820.0,3200,Intel,Intel,,,
AMD Athlon 64 3500+ (F3),CPU,2/20/2007,90.0,59.0,1.0,154.0,2200,Unknown,AMD,,,
Intel Xeon 7140N,CPU,8/27/2006,65.0,150.0,435.0,1328.0,3333,Intel,Intel,,,
Intel Core 2 Duo E6700,CPU,7/27/2006,65.0,65.0,143.0,291.0,2667,Intel,Intel,,,
Intel Pentium 4 HT EE 3.20,CPU,11/3/2003,130.0,110.0,237.0,178.0,3200,Intel,Intel,,,
Intel Pentium E6800,CPU,8/29/2010,45.0,65.0,82.0,228.0,3333,Intel,Intel,,,
Intel Xeon Platinum 8180,CPU,7/11/2017,14.0,205.0,188.4404445518241,8000.0,2500,Intel,Intel,,,
AMD Athlon II X2 265,CPU,9/21/2010,45.0,65.0,117.0,410.0,3300,Unknown,AMD,,,
AMD Phenom X4 9500,CPU,11/19/2007,65.0,95.0,285.0,450.0,2200,Unknown,AMD,,,
AMD Turion 64 MT-28,CPU,6/22/2005,90.0,22.0,125.0,114.0,1600,Unknown,AMD,,,
Intel Xeon W3550,CPU,8/9/2009,45.0,130.0,263.0,731.0,3066,Intel,Intel,,,
Intel Celeron 725C,CPU,7/1/2011,32.0,17.0,131.0,504.0,1300,Intel,Intel,,,
AMD EPYC 7251,CPU,6/29/2017,14.0,120.0,213.0,4800.0,2100,GF,AMD,,,
AMD Ryzen 9 4900HS,CPU,3/7/2020,7.0,35.0,156.0,9800.0,3000,TSMC,AMD,,,
AMD A10-4655M,CPU,5/15/2012,32.0,25.0,246.0,1178.0,2000,Unknown,AMD,,,
Intel Atom Z510,CPU,4/2/2008,45.0,2.0,26.0,47.0,1100,Intel,Intel,,,
AMD FX-4130,CPU,1/30/2013,32.0,125.0,315.0,1200.0,3800,Unknown,AMD,,,
Intel Xeon E3-1265L v2,CPU,5/14/2012,22.0,45.0,160.0,1400.0,2500,Intel,Intel,,,
Intel Celeron G1820TE,CPU,12/1/2013,22.0,54.0,177.0,1400.0,2200,Intel,Intel,,,
Intel Pentium E5400,CPU,1/18/2009,45.0,65.0,82.0,228.0,2700,Intel,Intel,,,
AMD Athlon XP 2500+ DTR,CPU,2/10/2003,130.0,68.0,101.0,63.0,1833,Unknown,AMD,,,
AMD A10-5800K,CPU,10/2/2012,32.0,100.0,246.0,1178.0,3800,Unknown,AMD,,,
Intel Xeon Gold 5317,CPU,4/6/2021,10.0,150.0,188.4404445518241,1929.9222785421193,3000,Intel,Intel,,,
AMD Athlon II X4 631,CPU,8/17/2011,32.0,100.0,228.0,1178.0,2600,Unknown,AMD,,,
AMD Opteron 846,CPU,12/1/2004,90.0,85.0,188.4404445518241,106.0,2000,Unknown,AMD,,,
AMD Athlon 64 X2 3800+,CPU,8/1/2005,90.0,89.0,156.0,154.0,2000,Unknown,AMD,,,
AMD Opteron 848,CPU,11/17/2003,130.0,89.0,193.0,106.0,2200,Unknown,AMD,,,
Intel Core i7-2670QM,CPU,10/12/2011,32.0,45.0,216.0,1160.0,2200,Intel,Intel,,,
AMD Phenom II X6 1035T,CPU,4/27/2010,45.0,95.0,346.0,904.0,2600,Unknown,AMD,,,
Intel Xeon Platinum 8354H,CPU,4/6/2021,14.0,205.0,188.4404445518241,1929.9222785421193,3100,Intel,Intel,,,
AMD Sempron 3400+,CPU,8/1/2005,90.0,62.0,84.0,63.0,2000,Unknown,AMD,,,
AMD Athlon 64 3500+ EE,CPU,2/20/2007,90.0,35.0,183.0,154.0,2200,Unknown,AMD,,,
AMD Ryzen 5 PRO 1600,CPU,6/29/2017,14.0,65.0,192.0,4800.0,3200,GF,AMD,,,
AMD Athlon 64 3200+,CPU,4/27/2004,130.0,89.0,144.0,69.0,2000,Unknown,AMD,,,
Intel Xeon Platinum 8280,CPU,12/11/2018,14.0,205.0,188.4404445518241,8000.0,2700,Intel,Intel,,,
Intel Xeon Gold 6346,CPU,4/6/2021,10.0,205.0,188.4404445518241,1929.9222785421193,3100,Intel,Intel,,,
Intel Pentium G4620,CPU,1/3/2017,14.0,51.0,188.4404445518241,1929.9222785421193,3700,Intel,Intel,,,
AMD Athlon 64 2800+,CPU,4/27/2004,130.0,32.0,144.0,69.0,1800,Unknown,AMD,,,
AMD Ryzen 7 3800XT,CPU,7/7/2020,7.0,105.0,74.0,3800.0,3800,TSMC,AMD,,,
Intel Pentium 957,CPU,6/19/2011,32.0,17.0,131.0,504.0,1200,Intel,Intel,,,
AMD Turion 64 MT-40,CPU,8/8/2005,90.0,25.0,125.0,114.0,2200,Unknown,AMD,,,
Intel Xeon X5667,CPU,3/16/2010,32.0,95.0,239.0,1170.0,3066,Intel,Intel,,,
Intel Celeron 807,CPU,7/1/2012,32.0,17.0,131.0,504.0,1500,Intel,Intel,,,
AMD Phenom X4 9950 BE (125W),CPU,10/1/2008,65.0,125.0,285.0,450.0,2600,Unknown,AMD,,,
AMD Athlon II X3 425e,CPU,5/3/2011,45.0,45.0,169.0,300.0,2700,Unknown,AMD,,,
AMD Athlon XP-M 2400+,CPU,1/1/2001,130.0,45.0,101.0,63.0,1800,Unknown,AMD,,,
Intel Xeon W3570,CPU,3/30/2009,45.0,130.0,263.0,731.0,3200,Intel,Intel,,,
Intel Celeron E1400,CPU,4/20/2008,65.0,65.0,77.0,105.0,2000,Intel,Intel,,,
Intel Xeon E5640,CPU,3/16/2010,32.0,80.0,239.0,1170.0,2666,Intel,Intel,,,
AMD A4-3310MX,CPU,6/14/2011,32.0,35.0,228.0,1178.0,2100,Unknown,AMD,,,
AMD Ryzen 3 4300U,CPU,1/6/2020,7.0,25.0,156.0,9800.0,2700,TSMC,AMD,,,
Intel Core i7-7800X,CPU,6/26/2017,14.0,140.0,188.4404445518241,1929.9222785421193,3500,Intel,Intel,,,
Intel Celeron D 346,CPU,10/1/2004,90.0,73.0,109.0,125.0,3060,Intel,Intel,,,
AMD Sempron 3000+ EE SFF,CPU,5/23/2006,90.0,35.0,103.0,81.0,1600,Unknown,AMD,,,
Intel Core i7-10700KF,CPU,4/30/2020,14.0,125.0,188.4404445518241,1929.9222785421193,3800,Intel,Intel,,,
AMD Athlon 64 LE-1640B,CPU,4/28/2008,65.0,45.0,77.0,122.0,2700,Unknown,AMD,,,
AMD Opteron 248,CPU,5/18/2004,130.0,89.0,193.0,106.0,2200,Unknown,AMD,,,
Intel Pentium B950,CPU,6/19/2011,32.0,35.0,131.0,504.0,2100,Intel,Intel,,,
AMD Athlon II X4 615e,CPU,9/21/2010,45.0,45.0,169.0,300.0,2500,Unknown,AMD,,,
Intel Mobile Pentium 4 HT 2.80,CPU,9/23/2003,130.0,68.0,131.0,55.0,2800,Intel,Intel,,,
Intel Core i7-640M,CPU,9/1/2010,32.0,35.0,81.0,384.0,2800,Intel,Intel,,,
Intel Xeon X5677,CPU,3/16/2010,32.0,130.0,239.0,1170.0,3466,Intel,Intel,,,
Intel Core i3-4370,CPU,7/1/2014,22.0,54.0,177.0,1400.0,3800,Intel,Intel,,,
Intel Core i3-7360X,CPU,10/3/2017,14.0,112.0,188.4404445518241,1929.9222785421193,4300,Intel,Intel,,,
AMD Athlon XP 2200+,CPU,1/1/2001,130.0,63.0,80.0,37.0,1800,Unknown,AMD,,,
AMD A6-9500,CPU,7/27/2017,28.0,65.0,246.0,1178.0,3500,Unknown,AMD,,,
AMD Athlon 64 FX-53,CPU,3/18/2004,130.0,89.0,193.0,105.0,2400,Unknown,AMD,,,
AMD Ryzen 7 PRO 4750GE,CPU,7/21/2020,7.0,35.0,188.4404445518241,1929.9222785421193,3100,TSMC,AMD,,,
Intel Core i5-3317U,CPU,6/1/2012,22.0,17.0,118.0,1929.9222785421193,1700,Intel,Intel,,,
Intel Core i5-4590S,CPU,5/1/2014,22.0,65.0,177.0,1400.0,2900,Intel,Intel,,,
Intel Core i3-9100,CPU,9/1/2018,14.0,65.0,188.4404445518241,1929.9222785421193,3700,Intel,Intel,,,
AMD Athlon 64 3800+,CPU,6/1/2004,130.0,89.0,193.0,106.0,2400,Unknown,AMD,,,
AMD Opteron 6272,CPU,11/14/2011,32.0,115.0,316.0,2400.0,2100,Unknown,AMD,,,
Intel Core i7-5930K,CPU,9/1/2014,22.0,140.0,356.0,2600.0,3500,Intel,Intel,,,
AMD Turion 64 ML-28,CPU,6/22/2005,90.0,32.0,125.0,114.0,1600,Unknown,AMD,,,
Intel Core i3-4000M,CPU,9/4/2013,22.0,37.0,118.0,1400.0,2400,Intel,Intel,,,
Intel Core i7-10850H,CPU,4/2/2020,14.0,45.0,188.4404445518241,1929.9222785421193,2700,Intel,Intel,,,
Intel Core i5-1030G4,CPU,8/1/2019,10.0,12.0,188.4404445518241,1929.9222785421193,700,Intel,Intel,,,
Intel Pentium 4-M 2.60,CPU,6/11/2003,130.0,35.0,131.0,55.0,2600,Intel,Intel,,,
Intel Celeron 430,CPU,6/3/2007,65.0,35.0,77.0,105.0,1800,Intel,Intel,,,
Intel Xeon Platinum 8360Y,CPU,4/6/2021,10.0,250.0,188.4404445518241,1929.9222785421193,2400,Intel,Intel,,,
Intel Core i5-3570S,CPU,6/1/2012,22.0,65.0,133.0,1929.9222785421193,3100,Intel,Intel,,,
AMD Opteron 240,CPU,8/5/2003,130.0,82.0,193.0,106.0,1400,Unknown,AMD,,,
Intel Core i7-2760QM,CPU,9/4/2011,32.0,45.0,216.0,1160.0,2400,Intel,Intel,,,
Intel Xeon MP 3.16,CPU,3/29/2005,90.0,135.0,188.4404445518241,1929.9222785421193,3167,Intel,Intel,,,
Intel Pentium Dual-Core E2200,CPU,12/2/2007,65.0,65.0,77.0,105.0,2200,Intel,Intel,,,
Intel Atom E625C,CPU,11/22/2010,45.0,3.0,26.0,47.0,600,Intel,Intel,,,
Intel Celeron G1610T,CPU,12/3/2012,22.0,35.0,94.0,1929.9222785421193,2300,Intel,Intel,,,
Intel Core i5-4330M,CPU,9/1/2013,22.0,37.0,118.0,1400.0,2800,Intel,Intel,,,
Intel Core i5-7300HQ,CPU,1/3/2017,14.0,45.0,188.4404445518241,1929.9222785421193,2500,Intel,Intel,,,
Intel Celeron G1610,CPU,12/3/2012,22.0,55.0,94.0,1929.9222785421193,2600,Intel,Intel,,,
Intel Mobile Pentium 4 HT 3.06,CPU,9/23/2003,130.0,70.0,131.0,55.0,3067,Intel,Intel,,,
AMD A6-5357M,CPU,6/1/2013,32.0,35.0,246.0,1178.0,2900,Unknown,AMD,,,
Intel Xeon L5518,CPU,3/30/2009,45.0,60.0,263.0,731.0,2133,Intel,Intel,,,
Intel Xeon E5645,CPU,3/16/2010,32.0,80.0,239.0,1170.0,2400,Intel,Intel,,,
AMD A6-9500E,CPU,7/27/2017,28.0,35.0,246.0,1178.0,3000,Unknown,AMD,,,
Intel Core Duo ULV L2400,CPU,9/3/2006,65.0,9.0,90.0,151.0,1066,Intel,Intel,,,
Intel Core Duo T2500,CPU,1/5/2006,65.0,31.0,90.0,151.0,1992,Intel,Intel,,,
Intel Xeon E7-8890 v3,CPU,6/1/2015,22.0,165.0,160.0,1400.0,2500,Intel,Intel,,,
