,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
1467,AMD Athlon II X4 615e,CPU,9/21/2010,45,45,169,300,2500,Unknown,AMD,,,
1468,Intel Mobile Pentium 4 HT 2.80,CPU,9/23/2003,130,68,131,55,2800,Intel,Intel,,,
1469,Intel Core i7-640M,CPU,9/1/2010,32,35,81,384,2800,Intel,Intel,,,
1470,Intel Xeon X5677,CPU,3/16/2010,32,130,239,1170,3466,Intel,Intel,,,
1471,Intel Core i3-4370,CPU,7/1/2014,22,54,177,1400,3800,Intel,Intel,,,
1472,Intel Core i3-7360X,CPU,10/3/2017,14,112,,,4300,Intel,Intel,,,
1473,AMD Athlon XP 2200+,CPU,1/1/2001,130,63,80,37,1800,Unknown,AMD,,,
1474,AMD A6-9500,CPU,7/27/2017,28,65,246,1178,3500,Unknown,AMD,,,
1475,AMD Athlon 64 FX-53,CPU,3/18/2004,130,89,193,105,2400,Unknown,AMD,,,
1476,AMD Ryzen 7 PRO 4750GE,CPU,7/21/2020,7,35,,,3100,TSMC,AMD,,,
1477,Intel Core i5-3317U,CPU,6/1/2012,22,17,118,,1700,Intel,Intel,,,
1478,Intel Core i5-4590S,CPU,5/1/2014,22,65,177,1400,2900,Intel,Intel,,,
1479,Intel Core i3-9100,CPU,9/1/2018,14,65,,,3700,Intel,Intel,,,
1480,AMD Athlon 64 3800+,CPU,6/1/2004,130,89,193,106,2400,Unknown,AMD,,,
1481,AMD Opteron 6272,CPU,11/14/2011,32,115,316,2400,2100,Unknown,AMD,,,
1482,Intel Core i7-5930K,CPU,9/1/2014,22,140,356,2600,3500,Intel,Intel,,,
1483,AMD Turion 64 ML-28,CPU,6/22/2005,90,32,125,114,1600,Unknown,AMD,,,
1484,Intel Core i3-4000M,CPU,9/4/2013,22,37,118,1400,2400,Intel,Intel,,,
1485,Intel Core i7-10850H,CPU,4/2/2020,14,45,,,2700,Intel,Intel,,,
1486,Intel Core i5-1030G4,CPU,8/1/2019,10,12,,,700,Intel,Intel,,,
1487,Intel Pentium 4-M 2.60,CPU,6/11/2003,130,35,131,55,2600,Intel,Intel,,,
1488,Intel Celeron 430,CPU,6/3/2007,65,35,77,105,1800,Intel,Intel,,,
1489,Intel Xeon Platinum 8360Y,CPU,4/6/2021,10,250,,,2400,Intel,Intel,,,
1490,Intel Core i5-3570S,CPU,6/1/2012,22,65,133,,3100,Intel,Intel,,,
1491,AMD Opteron 240,CPU,8/5/2003,130,82,193,106,1400,Unknown,AMD,,,
1492,Intel Core i7-2760QM,CPU,9/4/2011,32,45,216,1160,2400,Intel,Intel,,,
1493,Intel Xeon MP 3.16,CPU,3/29/2005,90,135,,,3167,Intel,Intel,,,
1494,Intel Pentium Dual-Core E2200,CPU,12/2/2007,65,65,77,105,2200,Intel,Intel,,,
1495,Intel Atom E625C,CPU,11/22/2010,45,3,26,47,600,Intel,Intel,,,
1496,Intel Celeron G1610T,CPU,12/3/2012,22,35,94,,2300,Intel,Intel,,,
1497,Intel Core i5-4330M,CPU,9/1/2013,22,37,118,1400,2800,Intel,Intel,,,
1498,Intel Core i5-7300HQ,CPU,1/3/2017,14,45,,,2500,Intel,Intel,,,
1499,Intel Celeron G1610,CPU,12/3/2012,22,55,94,,2600,Intel,Intel,,,
1500,Intel Mobile Pentium 4 HT 3.06,CPU,9/23/2003,130,70,131,55,3067,Intel,Intel,,,
1501,AMD A6-5357M,CPU,6/1/2013,32,35,246,1178,2900,Unknown,AMD,,,
1502,Intel Xeon L5518,CPU,3/30/2009,45,60,263,731,2133,Intel,Intel,,,
1503,Intel Xeon E5645,CPU,3/16/2010,32,80,239,1170,2400,Intel,Intel,,,
1504,AMD A6-9500E,CPU,7/27/2017,28,35,246,1178,3000,Unknown,AMD,,,
1505,Intel Core Duo ULV L2400,CPU,9/3/2006,65,9,90,151,1066,Intel,Intel,,,
1506,Intel Core Duo T2500,CPU,1/5/2006,65,31,90,151,1992,Intel,Intel,,,
1507,Intel Xeon E7-8890 v3,CPU,6/1/2015,22,165,160,1400,2500,Intel,Intel,,,
1508,AMD Athlon X2 QL-67,CPU,12/1/2008,65,35,,,2200,Unknown,AMD,,,
1509,Intel Pentium 4 2.60,CPU,8/25/2002,130,92,146,55,2600,Intel,Intel,,,
1510,Intel Xeon E3-1285 v6,CPU,8/1/2017,14,79,160,1400,4100,Intel,Intel,,,
1511,AMD Sempron 2400+,CPU,1/1/2001,130,62,101,63,1667,Unknown,AMD,,,
1512,AMD Ryzen 7 1700,CPU,3/2/2017,14,65,192,4800,3000,GF,AMD,,,
1513,AMD Athlon 64 3000+,CPU,4/27/2004,130,32,144,69,1800,Unknown,AMD,,,
1514,Intel Core i7-3960X,CPU,11/14/2011,32,130,435,2270,3300,Intel,Intel,,,
1515,AMD Phenom II X6 1045T,CPU,9/1/2010,45,95,346,904,2700,Unknown,AMD,,,
1516,AMD A8-4500M,CPU,5/15/2012,32,35,246,1178,1900,Unknown,AMD,,,
1517,Intel Xeon E5-2660 v2,CPU,9/1/2013,22,95,160,1400,2200,Intel,Intel,,,
1518,Intel Pentium 4 HT 3.00,CPU,4/14/2003,130,82,131,55,3000,Intel,Intel,,,
1519,AMD Athlon 64 FX-60,CPU,1/9/2006,90,110,199,233,2600,Unknown,AMD,,,
1520,Intel Core i5-11400T,CPU,3/16/2021,14,35,,,1300,Intel,Intel,,,
1521,AMD Athlon XP 3100+,CPU,12/1/2003,130,68,,63,2200,Unknown,AMD,,,
1522,AMD Sempron 3600+,CPU,5/17/2006,90,62,,69,2200,Unknown,AMD,,,
1523,Intel Core i5-10500,CPU,4/30/2020,14,65,,,3100,Intel,Intel,,,
1524,AMD Ryzen 3 PRO 1200,CPU,6/29/2017,14,65,192,4800,3100,GF,AMD,,,
1525,Intel Xeon Gold 6326,CPU,4/6/2021,10,185,,,2900,Intel,Intel,,,
1526,AMD EPYC Embedded 3251,CPU,2/21/2018,14,50,213,4800,2500,GF,AMD,,,
1527,Intel Xeon 3.6,CPU,6/28/2004,90,135,135,155,3600,Intel,Intel,,,
1528,Intel Atom Z2760,CPU,9/27/2012,32,3,65,140,1800,Intel,Intel,,,
1529,AMD Sempron 3400+,CPU,5/17/2006,90,25,,69,2000,Unknown,AMD,,,
1530,Intel Pentium G3258,CPU,6/2/2014,22,54,177,1400,3200,Intel,Intel,,,
1531,AMD Opteron 856,CPU,4/1/2006,90,92,,106,3000,Unknown,AMD,,,
1532,AMD A10-5745M,CPU,6/1/2013,32,25,246,1178,2100,Unknown,AMD,,,
1533,Intel Core i5-560M,CPU,9/26/2010,32,35,81,382,2667,Intel,Intel,,,
1534,Intel Pentium 4-M 2.20,CPU,9/16/2002,130,35,131,55,2200,Intel,Intel,,,
1535,Intel Core i5-430M,CPU,1/7/2010,32,35,81,382,2267,Intel,Intel,,,
1536,AMD Ryzen Threadripper 2920X,CPU,10/3/2018,12,180,213,19200,3500,GF,AMD,,,
1537,Intel Core i5-8650K,CPU,9/1/2018,14,95,,,3700,Intel,Intel,,,
1538,Intel Pentium 4 HT 540,CPU,6/21/2004,90,84,109,125,3200,Intel,Intel,,,
1539,Intel Core i7-8565U,CPU,10/1/2018,14,28,123,,1800,Intel,Intel,,,
1540,Intel Atom CE4100,CPU,9/24/2009,45,7,26,47,1200,Intel,Intel,,,
1541,Intel Core i9-7940X,CPU,9/1/2017,14,165,,,3100,Intel,Intel,,,
1542,Intel Pentium Gold G6600,CPU,4/30/2020,14,58,,,4200,Intel,Intel,,,
1543,Intel Core i9-9900KS,CPU,10/28/2019,14,127,180,,4000,Intel,Intel,,,
1544,Intel Atom Z3770,CPU,9/27/2013,22,8,,,1467,Intel,Intel,,,
1545,AMD Opteron X2 865 HE,CPU,8/1/2005,90,55,,233,1800,Unknown,AMD,,,
1546,Intel Core i7-980,CPU,6/26/2011,32,130,239,1170,3333,Intel,Intel,,,
1547,Intel Xeon Gold 6154,CPU,7/11/2017,14,200,,8000,3000,Intel,Intel,,,
1548,AMD Ryzen 3 2300X,CPU,8/1/2018,14,65,210,4950,3500,GF,AMD,,,
1549,Intel Pentium G3250,CPU,7/21/2014,22,54,177,1400,3200,Intel,Intel,,,
1550,Intel Atom Z500,CPU,4/2/2008,45,1,26,47,800,Intel,Intel,,,
1551,Intel Celeron E3300,CPU,8/30/2009,45,65,82,228,2500,Intel,Intel,,,
1552,AMD Athlon 64 X2 4800+,CPU,5/23/2006,90,89,220,154,2400,Unknown,AMD,,,
1553,AMD Athlon 64 3200+,CPU,5/31/2005,90,67,156,154,2000,Unknown,AMD,,,
1554,AMD A10-7890K,CPU,1/11/2016,28,95,246,1178,4000,Unknown,AMD,,,
1555,AMD A10-5757M,CPU,6/1/2013,32,35,246,1178,2500,Unknown,AMD,,,
1556,AMD Sempron X2 2100,CPU,3/1/2008,65,65,118,221,1800,Unknown,AMD,,,
1557,Intel Xeon MP 3.00,CPU,3/29/2005,90,135,,,3000,Intel,Intel,,,
1558,Intel Core i7-9850HL,CPU,NaT,14,25,149,,1900,Intel,Intel,,,
1559,Intel Core i7-860S,CPU,1/7/2010,45,82,296,774,2533,Intel,Intel,,,
1560,Intel Pentium 4 HT 3.40,CPU,2/2/2004,130,89,131,55,3400,Intel,Intel,,,
1561,Intel Celeron 2.60,CPU,6/25/2003,130,73,146,55,2600,Intel,Intel,,,
1562,AMD Athlon 64 3500+,CPU,5/23/2006,90,62,183,154,2200,Unknown,AMD,,,
1563,Intel Pentium 4 HT 630,CPU,2/20/2005,90,84,109,169,3000,Intel,Intel,,,
1564,Intel Celeron 445,CPU,5/1/2008,65,65,76,105,1866,Intel,Intel,,,
1565,AMD Turion X2 RM-70,CPU,6/1/2006,65,31,,,2000,Unknown,AMD,,,
1566,AMD Opteron 146 HE,CPU,2/14/2004,130,55,193,106,2000,Unknown,AMD,,,
1567,Intel Core i3-4160,CPU,7/21/2014,22,54,177,1400,3600,Intel,Intel,,,
1568,Intel Core i7-4790,CPU,5/1/2014,22,84,177,1400,3600,Intel,Intel,,,
1569,Intel Core i5-3330,CPU,9/3/2012,22,77,133,,3000,Intel,Intel,,,
1570,AMD Sempron 2500+,CPU,1/1/2001,130,62,101,63,1750,Unknown,AMD,,,
1571,Intel Core i7-7700,CPU,1/3/2017,14,65,,,3600,Intel,Intel,,,
1572,Intel Core Duo T2700,CPU,6/28/2006,65,31,90,151,2333,Intel,Intel,,,
1573,Intel Core Solo ULV U1400,CPU,4/19/2006,65,5,90,151,1200,Intel,Intel,,,
1574,AMD Athlon 64 3500+,CPU,6/1/2004,130,89,144,69,2200,Unknown,AMD,,,
1575,AMD Ryzen 5 2400G,CPU,2/12/2018,14,65,210,4950,3600,GF,AMD,,,
1576,AMD Ryzen 3 3250U,CPU,1/6/2020,12,15,210,4940,2600,GF,AMD,,,
1577,AMD Athlon II X2 260u,CPU,10/20/2009,45,25,117,410,1800,Unknown,AMD,,,
1578,Intel Xeon Phi 7230F,CPU,6/20/2016,14,230,,8000,1300,Intel,Intel,,,
1579,Intel Xeon 2.8,CPU,9/11/2002,130,89,217,55,2790,Intel,Intel,,,
1580,Intel Pentium 4 HT 3.2E,CPU,2/1/2004,90,115,109,125,3200,Intel,Intel,,,
1581,AMD Athlon XP 2400+,CPU,8/21/2002,130,65,80,37,2000,Unknown,AMD,,,
1582,Intel Core 2 Duo E6320,CPU,4/1/2007,65,65,143,291,1860,Intel,Intel,,,
1583,AMD Phenom II X2 550 BE,CPU,6/1/2009,45,80,258,758,3100,Unknown,AMD,,,
1584,Intel Celeron G1850,CPU,5/1/2014,22,54,177,1400,2900,Intel,Intel,,,
1585,Intel Pentium G622,CPU,5/22/2011,32,65,131,504,2600,Intel,Intel,,,
1586,Intel Core i3-9000,CPU,9/1/2018,14,65,,,3700,Intel,Intel,,,
1587,AMD Athlon 64 FX-70,CPU,11/30/2006,90,125,235,227,2600,Unknown,AMD,,,
1588,Intel Atom 230,CPU,6/3/2008,45,4,96,47,1600,Intel,Intel,,,
1589,AMD Ryzen 5 3600,CPU,7/7/2019,7,65,74,3800,3600,TSMC,AMD,,,
1590,Intel Pentium 4 HT 2.60,CPU,5/21/2003,130,69,131,55,2600,Intel,Intel,,,
1591,AMD Ryzen 5 3580U,CPU,10/22/2019,12,15,210,4940,2100,GF,AMD,,,
1592,Intel Core i5-11500,CPU,3/16/2021,14,65,,,2700,Intel,Intel,,,
1593,Intel Core i7-8706G,CPU,2/1/2018,14,65,,,3100,Intel,Intel,,,
1594,Intel Core i7-4960HQ,CPU,9/1/2013,22,47,264,1400,2600,Intel,Intel,,,
1595,AMD Mobile Athlon 64 3000+,CPU,8/1/2004,130,35,193,106,2000,Unknown,AMD,,,
1596,Intel Pentium 4 1.5,CPU,11/20/2000,180,58,217,42,1500,Intel,Intel,,,
1597,AMD Ryzen Embedded V1202B,CPU,2/21/2018,14,15,210,4950,2300,GF,AMD,,,
1598,Intel Core i7-870S,CPU,7/19/2010,45,82,296,774,2666,Intel,Intel,,,
1599,Intel Xeon X5560,CPU,3/30/2009,45,95,263,731,2800,Intel,Intel,,,
1600,Intel Pentium 4 2.0,CPU,8/27/2001,180,72,217,42,2000,Intel,Intel,,,
1601,AMD Turion X2 Ultra ZM-80,CPU,6/1/2008,65,32,,,2100,Unknown,AMD,,,
1602,AMD Athlon 64 X2 4600+,CPU,5/23/2006,90,89,220,154,2400,Unknown,AMD,,,
1603,Intel Core 2 Extreme X6800,CPU,7/27/2006,65,75,143,291,2933,Intel,Intel,,,
1604,AMD Opteron X2 170,CPU,8/2/2005,90,110,,233,2000,Unknown,AMD,,,
1605,Intel Xeon 5040,CPU,5/23/2006,65,95,,,2830,Intel,Intel,,,
1606,Intel Xeon Phi 7250,CPU,6/20/2016,14,215,,8000,1400,Intel,Intel,,,
1607,Intel Xeon Gold 6328HL,CPU,4/6/2021,14,165,,,2800,Intel,Intel,,,
1608,Intel Celeron D 330,CPU,6/24/2004,90,84,109,125,2667,Intel,Intel,,,
1609,Intel Core M-5Y10,CPU,9/5/2014,14,5,50,,800,Intel,Intel,,,
1610,AMD Ryzen 5 4600GE,CPU,7/21/2020,7,35,,,3300,TSMC,AMD,,,
1611,Intel Core i7-1185G7,CPU,9/2/2020,10,28,,,3000,Intel,Intel,,,
1612,Intel Core i9-7900X,CPU,6/26/2017,14,140,,,3300,Intel,Intel,,,
1613,Intel Xeon 3.20,CPU,2/1/2004,130,97,237,286,3200,Intel,Intel,,,
1614,Intel Celeron 2950M,CPU,9/1/2013,22,37,118,1400,2000,Intel,Intel,,,
1615,Intel Core i9-10900,CPU,4/30/2020,14,65,,,2800,Intel,Intel,,,
1616,Intel Core M-5Y71,CPU,10/27/2014,14,5,50,,1200,Intel,Intel,,,
1617,Intel Xeon W-3175X,CPU,12/19/2018,14,255,,8000,3100,Intel,Intel,,,
1618,AMD Turion X2 Ultra ZM-85,CPU,9/1/2008,65,35,,,2300,Unknown,AMD,,,
1619,AMD Ryzen 3 2200G,CPU,2/12/2018,14,65,210,4950,3500,GF,AMD,,,
1620,AMD Phenom II X4 945 (95W),CPU,7/22/2009,45,95,258,758,3000,Unknown,AMD,,,
1621,AMD EPYC 7F52,CPU,4/14/2020,7,155,74,3800,3500,TSMC,AMD,,,
1622,Intel Mobile Pentium 4 HT 518,CPU,6/1/2004,90,88,112,125,2800,Intel,Intel,,,
1623,Intel Core i7-1065G7,CPU,8/1/2019,10,25,,,1300,Intel,Intel,,,
1624,AMD Athlon 64 2850e,CPU,8/1/2008,65,22,77,122,1800,Unknown,AMD,,,
1625,Intel Core i7-6700,CPU,7/1/2015,14,65,,,3400,Intel,Intel,,,
1626,AMD Athlon 64 X2 4800+,CPU,12/5/2006,65,65,126,154,2500,Unknown,AMD,,,
1627,Intel Xeon 5080,CPU,5/23/2006,65,130,,,3730,Intel,Intel,,,
1628,Intel Celeron G465,CPU,9/1/2012,32,35,131,504,1900,Intel,Intel,,,
1629,Intel Core i5-2405S,CPU,5/22/2011,32,65,216,1160,2500,Intel,Intel,,,
1630,Intel Pentium III 1000S,CPU,6/1/2001,130,30,80,44,1000,Intel,Intel,,,
1631,Intel Pentium B960,CPU,10/2/2011,32,35,131,504,2200,Intel,Intel,,,
1632,AMD Opteron 240,CPU,5/18/2004,130,82,193,106,1400,Unknown,AMD,,,
1633,AMD Athlon 64 X2 4200+ EE,CPU,5/23/2006,90,65,220,154,2200,Unknown,AMD,,,
1634,AMD Phenom II X6 1075T,CPU,9/21/2010,45,125,346,904,3000,Unknown,AMD,,,
1635,Intel Core 2 Quad Q6600 (95W),CPU,7/23/2007,65,95,143,582,2400,Intel,Intel,,,
1636,Intel Pentium Dual-Core T4300,CPU,4/1/2009,45,35,107,410,2100,Intel,Intel,,,
1637,Intel Core i5-7500,CPU,1/3/2017,14,65,,,3400,Intel,Intel,,,
1638,Intel Celeron G1830,CPU,12/1/2013,22,54,177,1400,2800,Intel,Intel,,,
1639,Intel Xeon 7130N,CPU,8/27/2006,65,150,435,1328,3166,Intel,Intel,,,
1640,Intel Xeon Phi 3120A,CPU,6/17/2013,22,300,350,5000,1100,Intel,Intel,,,
1641,Intel Core i3-4350,CPU,5/1/2014,22,54,177,1400,3600,Intel,Intel,,,
1642,AMD A10-6700,CPU,6/1/2013,32,65,246,1178,3700,Unknown,AMD,,,
1643,Intel Xeon MP 3.16,CPU,3/29/2005,90,135,,286,3167,Intel,Intel,,,
1644,Intel Core 2 Duo E7500,CPU,1/10/2009,45,65,82,228,2933,Intel,Intel,,,
1645,AMD A10-6700T,CPU,9/16/2013,32,45,246,1178,2500,Unknown,AMD,,,
1646,AMD Athlon XP 1800+,CPU,10/9/2001,180,66,150,37,1533,Unknown,AMD,,,
1647,Intel Xeon E5-2440 v2,CPU,9/1/2013,22,95,160,1400,1900,Intel,Intel,,,
1648,AMD A9-9410 SoC,CPU,5/31/2016,28,25,124,1200,2900,Unknown,AMD,,,
1649,Intel Core i3-4130T,CPU,9/1/2013,22,35,177,1400,2900,Intel,Intel,,,
1650,Intel Core i5-4250U,CPU,6/4/2013,22,15,118,1400,1300,Intel,Intel,,,
1651,AMD Athlon II X2 240,CPU,7/23/2009,45,65,117,410,2800,Unknown,AMD,,,
1652,AMD Opteron 140,CPU,5/18/2004,130,82,193,106,1400,Unknown,AMD,,,
1653,Intel Xeon Gold 5318Y,CPU,4/6/2021,10,165,,,2100,Intel,Intel,,,
1654,Intel Celeron G3950,CPU,1/3/2017,14,51,,,3000,Intel,Intel,,,
1655,AMD A8-6500,CPU,6/1/2013,32,65,246,1178,3500,Unknown,AMD,,,
1656,Intel Pentium M 745,CPU,5/10/2004,90,21,84,140,1800,Intel,Intel,,,
1657,AMD Athlon 64 X2 4600+,CPU,5/23/2006,90,89,156,154,2400,Unknown,AMD,,,
1658,AMD Opteron 4376 HE,CPU,12/4/2012,32,65,315,1200,2600,Unknown,AMD,,,
1659,Intel Xeon E5-2640 v2,CPU,9/1/2013,22,95,160,1400,2000,Intel,Intel,,,
1660,AMD Ryzen 3 1200,CPU,7/27/2017,14,65,192,4800,3100,GF,AMD,,,
1661,AMD Phenom II X4 970 BE,CPU,10/1/2010,45,125,346,904,3500,Unknown,AMD,,,
1662,Intel Celeron N2820,CPU,12/1/2013,22,7,,,2170,Intel,Intel,,,
1663,Intel Pentium G4560T,CPU,1/3/2017,14,35,,,2900,Intel,Intel,,,
1664,Intel Xeon X5660,CPU,3/16/2010,32,95,239,1170,2800,Intel,Intel,,,
1665,AMD Opteron X2 165,CPU,8/2/2005,90,110,,233,1800,Unknown,AMD,,,
1666,Intel Core i3-3217UE,CPU,8/1/2012,22,17,118,,1600,Intel,Intel,,,
1667,AMD Sempron 2800+,CPU,8/1/2004,90,62,84,63,1600,Unknown,AMD,,,
1668,AMD Phenom II X2 B53,CPU,10/1/2009,45,80,258,758,2800,Unknown,AMD,,,
1669,AMD Athlon II X2 255,CPU,1/25/2010,45,65,117,410,3100,Unknown,AMD,,,
1670,Intel Core i3-5005U,CPU,3/1/2015,14,15,,,2000,Intel,Intel,,,
1671,Intel Pentium 4 HT 551,CPU,6/12/2005,90,115,109,125,3400,Intel,Intel,,,
1672,Intel Core i7-3517UE,CPU,6/3/2012,22,17,118,,1700,Intel,Intel,,,
1673,Intel Xeon E5502,CPU,3/30/2009,45,80,263,731,1866,Intel,Intel,,,
1674,Intel Celeron G555,CPU,9/1/2012,32,65,131,504,2700,Intel,Intel,,,
1675,AMD Athlon 64 3300+,CPU,4/27/2004,130,89,144,105,2400,Unknown,AMD,,,
1676,Intel Mobile Pentium 4 2.66,CPU,6/11/2003,130,66,131,55,2667,Intel,Intel,,,
1677,Intel Core i9-11900T,CPU,3/16/2021,14,35,,,1500,Intel,Intel,,,
1678,AMD Opteron 6276,CPU,11/14/2011,32,115,316,2400,2300,Unknown,AMD,,,
1679,AMD Opteron 6278,CPU,5/1/2012,32,115,316,2400,2400,Unknown,AMD,,,
1680,Intel Xeon E5-1620 v2,CPU,9/1/2013,22,130,160,1400,3700,Intel,Intel,,,
1681,AMD Phenom X4 9750 (95W),CPU,3/27/2008,65,95,285,450,2400,Unknown,AMD,,,
1682,AMD Mobile Athlon 64 2700+,CPU,8/1/2005,130,35,193,106,1600,Unknown,AMD,,,
1683,AMD Phenom X3 8600,CPU,3/27/2008,65,95,285,450,2300,Unknown,AMD,,,
1684,AMD FX-4320,CPU,10/23/2012,32,95,315,1200,4000,Unknown,AMD,,,
1685,AMD Athlon 64 X2 5400+ BE,CPU,2/1/2008,65,65,126,154,2800,Unknown,AMD,,,
1686,Intel Core i3-8109U,CPU,4/5/2018,14,28,123,,3000,Intel,Intel,,,
1687,Intel Celeron N2807,CPU,2/23/2014,22,4,,,1580,Intel,Intel,,,
1688,Intel Core i5-660,CPU,1/7/2010,32,73,81,382,3333,Intel,Intel,,,
1689,Intel Xeon Bronze 3106,CPU,7/11/2017,14,85,,8000,2100,Intel,Intel,,,
1690,Intel Celeron D 350,CPU,6/28/2005,90,84,109,125,3200,Intel,Intel,,,
1691,AMD Opteron X2 175,CPU,8/2/2005,90,110,,233,2200,Unknown,AMD,,,
1692,Intel Pentium Gold G6405,CPU,3/16/2021,14,65,,,4100,Intel,Intel,,,
1693,Intel Celeron 2.10,CPU,11/20/2002,130,73,146,55,2100,Intel,Intel,,,
1694,Intel Core i5-11600KF,CPU,3/16/2021,14,125,,,3900,Intel,Intel,,,
1695,Intel Xeon Platinum 9222,CPU,4/2/2019,14,250,,8000,2300,Intel,Intel,,,
1696,Intel Core i5-2390T,CPU,2/20/2011,32,35,131,504,2700,Intel,Intel,,,
1697,AMD A6-5400B,CPU,10/2/2012,32,65,246,1178,3600,Unknown,AMD,,,
1698,Intel Core i7-4790K,CPU,5/1/2014,22,88,177,1400,4000,Intel,Intel,,,
1699,Intel Pentium 4 519,CPU,12/1/2004,90,84,109,125,3060,Intel,Intel,,,
1700,Intel Pentium III 1000,CPU,7/1/2001,130,30,80,44,1000,Intel,Intel,,,
1701,AMD Ryzen 7 5800HS,CPU,1/12/2021,7,35,156,9800,2800,TSMC,AMD,,,
1702,AMD Ryzen Threadripper 3970X,CPU,11/25/2019,7,280,74,3800,3700,TSMC,AMD,,,
1703,Intel Pentium 4 HT 524,CPU,1/1/2001,90,84,109,125,3060,Intel,Intel,,,
1704,AMD Athlon X2 4450e,CPU,4/21/2008,65,45,126,154,2300,Unknown,AMD,,,
1705,Intel Core 2 Extreme QX9650,CPU,11/30/2007,45,130,107,820,3000,Intel,Intel,,,
1706,Intel Atom D2700,CPU,11/1/2011,32,10,66,176,2133,Intel,Intel,,,
1707,Intel Xeon Platinum 8353H,CPU,4/6/2021,14,150,,,2500,Intel,Intel,,,
1708,AMD Ryzen 5 1600,CPU,4/11/2017,14,65,192,4800,3200,GF,AMD,,,
1709,AMD Athlon XP 1600+,CPU,10/9/2001,180,63,150,37,1400,Unknown,AMD,,,
1710,AMD Ryzen Threadripper 3990X,CPU,2/7/2020,7,280,74,3800,2900,TSMC,AMD,,,
1711,Intel Xeon Phi 5120D,CPU,6/17/2013,22,245,350,5000,1053,Intel,Intel,,,
1712,Intel Atom S1240,CPU,12/11/2012,32,6,,,1600,Intel,Intel,,,
1713,AMD Athlon 64 3200+,CPU,4/14/2005,130,62,,105,2000,Unknown,AMD,,,
1714,Intel Pentium D 950,CPU,1/16/2006,65,130,140,376,3400,Intel,Intel,,,
1715,AMD Athlon II X4 651,CPU,11/14/2011,32,100,228,1178,3000,Unknown,AMD,,,
1716,Intel Pentium 4 1.6,CPU,7/2/2001,180,61,217,42,1600,Intel,Intel,,,
1717,Intel Core i5-6600,CPU,7/2/2015,14,65,177,,3300,Intel,Intel,,,
1718,Intel Xeon E7-4830 v3,CPU,6/1/2015,22,115,160,1400,2100,Intel,Intel,,,
1719,AMD EPYC 7642,CPU,8/7/2019,7,225,74,3800,2400,TSMC,AMD,,,
1720,AMD Phenom II X4 940 BE,CPU,1/8/2009,45,125,258,758,3000,Unknown,AMD,,,
1721,Intel Xeon E5-2407 v2,CPU,9/1/2013,22,80,160,1400,2400,Intel,Intel,,,
1722,Intel Core i5-10600KF,CPU,4/30/2020,14,95,,,4100,Intel,Intel,,,
1723,AMD Athlon 64 4000+,CPU,10/19/2004,90,89,115,105,2400,Unknown,AMD,,,
1724,Intel Core i5-2467M,CPU,6/1/2011,32,17,149,624,1600,Intel,Intel,,,
1725,Intel Core 2 Extreme QX6800,CPU,4/9/2007,65,130,143,582,2933,Intel,Intel,,,
1726,Intel Core i9-9900,CPU,4/23/2019,14,65,180,,3100,Intel,Intel,,,
1727,AMD Ryzen 7 3700X,CPU,7/7/2019,7,65,74,3800,3600,TSMC,AMD,,,
1728,Intel Core i7-5960X,CPU,9/1/2014,22,140,356,2600,3000,Intel,Intel,,,
1729,Intel Celeron G540,CPU,9/4/2011,32,65,131,504,2500,Intel,Intel,,,
1730,Intel Pentium G4400,CPU,9/1/2015,14,51,150,1400,3300,Intel,Intel,,,
1731,Intel Atom E625CT,CPU,11/22/2010,45,3,26,47,600,Intel,Intel,,,
1732,Intel Pentium 4 HT 3.06,CPU,6/1/2003,130,110,146,55,3060,Intel,Intel,,,
1733,Intel Core i5-7400,CPU,1/3/2017,14,65,,,3000,Intel,Intel,,,
1734,Intel Pentium III 1200,CPU,7/1/2001,130,30,80,44,1200,Intel,Intel,,,
1735,AMD Sempron 3100+,CPU,1/1/2001,130,25,144,69,1800,Unknown,AMD,,,
1736,Intel Xeon X5670,CPU,3/16/2010,32,95,239,1170,2933,Intel,Intel,,,
1737,AMD Ryzen Threadripper 1920,CPU,7/29/2017,14,140,213,9600,3200,GF,AMD,,,
1738,Intel Core i7-2760QM,CPU,9/4/2011,32,45,216,1160,2400,Intel,Intel,,,
1739,Intel Core i7-920,CPU,11/17/2008,45,130,263,731,2666,Intel,Intel,,,
1740,Intel Celeron E3200,CPU,8/30/2009,45,65,82,228,2400,Intel,Intel,,,
1741,Intel Core i5-9500F,CPU,4/23/2019,14,65,,,3000,Intel,Intel,,,
1742,Intel Xeon MP 7041 Dual-Core,CPU,12/1/2005,90,135,213,200,3000,Intel,Intel,,,
1743,Intel Xeon E3-1225,CPU,4/3/2011,32,95,216,1160,3100,Intel,Intel,,,
1744,Intel Core Solo T1300,CPU,1/5/2006,65,27,90,151,1660,Intel,Intel,,,
1745,Intel Core i5-3470T,CPU,6/1/2012,22,35,6,,2900,Intel,Intel,,,
1746,Intel Pentium 4 HT 530,CPU,6/21/2004,90,84,109,125,3000,Intel,Intel,,,
1747,Intel Pentium 4 HT 650,CPU,2/20/2005,90,84,109,169,3400,Intel,Intel,,,
